Vds	V(vsd)	V(vsg)	Id(M1)	Is(M1)
Step Information: Vgs=2.5  (Step: 1/3)
3.600000000000000e+00	1.400000e+00	1.500000e+00	-1.225000e-04	1.225000e-04
3.700000000000000e+00	1.300000e+00	1.500000e+00	-1.225000e-04	1.225000e-04
3.800000000000000e+00	1.200000e+00	1.500000e+00	-1.225000e-04	1.225000e-04
3.900000000000000e+00	1.100000e+00	1.500000e+00	-1.225000e-04	1.225000e-04
4.000000000000000e+00	1.000000e+00	1.500000e+00	-1.225000e-04	1.225000e-04
4.100000000000001e+00	9.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
4.200000000000000e+00	8.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
4.300000000000000e+00	7.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
4.400000000000000e+00	6.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
4.500000000000000e+00	5.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
4.600000000000001e+00	4.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
4.700000000000000e+00	3.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
4.800000000000001e+00	2.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
4.900000000000000e+00	1.000000e-01	1.500000e+00	-1.225000e-04	1.225000e-04
5.000000000000000e+00	0.000000e+00	1.500000e+00	-1.225000e-04	1.225000e-04
