time	V(v0)	V(n001)
6.162194028164284e-02	-3.587243e+00	2.129085e+00
6.181725278164284e-02	-3.587094e+00	2.273473e+00
6.201256528164285e-02	-3.586944e+00	2.383666e+00
6.220787778164285e-02	-3.586795e+00	2.458007e+00
6.240319028164285e-02	-3.586646e+00	2.495377e+00
6.259850278164285e-02	-3.586497e+00	2.495213e+00
6.279381528164285e-02	-3.586348e+00	2.457520e+00
6.298912778164285e-02	-3.586199e+00	2.382863e+00
6.318444028164286e-02	-3.586050e+00	2.272366e+00
6.337975278164286e-02	-3.585901e+00	2.127690e+00
6.357506528164286e-02	-3.585752e+00	1.951012e+00
6.377037778164286e-02	-3.585603e+00	1.744989e+00
6.396569028164287e-02	-3.585454e+00	1.512719e+00
6.416100278164287e-02	-3.585305e+00	1.257697e+00
6.435631528164287e-02	-3.585156e+00	9.837578e-01
6.455162778164288e-02	-3.585007e+00	6.950220e-01
6.474694028164288e-02	-3.584858e+00	3.958324e-01
6.494225278164288e-02	-3.584709e+00	9.068922e-02
6.513756528164288e-02	-3.584560e+00	-2.158181e-01
6.533287778164289e-02	-3.584411e+00	-5.190793e-01
6.552819028164289e-02	-3.584262e+00	-8.145330e-01
6.572350278164289e-02	-3.584113e+00	-1.097735e+00
6.591881528164290e-02	-3.583965e+00	-1.364427e+00
6.611412778164290e-02	-3.583816e+00	-1.610596e+00
6.630944028164290e-02	-3.583667e+00	-1.832540e+00
6.650475278164290e-02	-3.583518e+00	-2.026922e+00
6.670006528164291e-02	-3.583369e+00	-2.190816e+00
6.689537778164291e-02	-3.583269e+00	-2.321759e+00
6.709069028164291e-02	-3.584906e+00	-2.417780e+00
6.728600278164291e-02	-3.594654e+00	-2.477435e+00
6.748131528164292e-02	-3.609016e+00	-2.499828e+00
6.764305496675023e-02	-3.616198e+00	-2.489908e+00
6.783836746675023e-02	-3.618855e+00	-2.443713e+00
6.803367996675024e-02	-3.619053e+00	-2.360762e+00
6.822899246675024e-02	-3.618917e+00	-2.242303e+00
6.842430496675024e-02	-3.618766e+00	-2.090118e+00
6.861961746675024e-02	-3.618616e+00	-1.906495e+00
6.881492996675025e-02	-3.618465e+00	-1.694197e+00
6.901024246675025e-02	-3.618315e+00	-1.456417e+00
6.920555496675025e-02	-3.618165e+00	-1.196730e+00
6.940086746675025e-02	-3.618014e+00	-9.190443e-01
6.959617996675026e-02	-3.617864e+00	-6.275349e-01
6.979149246675026e-02	-3.617714e+00	-3.265868e-01
6.998680496675026e-02	-3.617563e+00	-2.072647e-02
7.018211746675027e-02	-3.617413e+00	2.854456e-01
7.037742996675027e-02	-3.617263e+00	5.873243e-01
7.057274246675027e-02	-3.617112e+00	8.803690e-01
7.076805496675027e-02	-3.616962e+00	1.160172e+00
7.096336746675028e-02	-3.616812e+00	1.422525e+00
7.115867996675028e-02	-3.616662e+00	1.663482e+00
7.135399246675028e-02	-3.616511e+00	1.879419e+00
7.154930496675029e-02	-3.616361e+00	2.067088e+00
7.174461746675029e-02	-3.616211e+00	2.223665e+00
7.193992996675029e-02	-3.616060e+00	2.346797e+00
7.213524246675029e-02	-3.615910e+00	2.434630e+00
7.233055496675030e-02	-3.615760e+00	2.485845e+00
7.252586746675030e-02	-3.615610e+00	2.499670e+00
7.269211975989510e-02	-3.615482e+00	2.481808e+00
7.288743225989511e-02	-3.615331e+00	2.426292e+00
7.308274475989511e-02	-3.615181e+00	2.334282e+00
7.327805725989511e-02	-3.615031e+00	2.207163e+00
7.347336975989512e-02	-3.614881e+00	2.046846e+00
7.366868225989512e-02	-3.614731e+00	1.855742e+00
7.386399475989512e-02	-3.614580e+00	1.636726e+00
7.405930725989512e-02	-3.614430e+00	1.393093e+00
7.425461975989513e-02	-3.614280e+00	1.128506e+00
7.444993225989513e-02	-3.614130e+00	8.469449e-01
7.464524475989513e-02	-3.613980e+00	5.526453e-01
7.484055725989514e-02	-3.613829e+00	2.500333e-01
7.503586975989514e-02	-3.613679e+00	-5.633932e-02
