time	V(vds)	V(vgs)	V(vo)	Id(M1)
6.069866211685494e-04	1.154301e+01	-3.101106e-03	9.142754e-04	9.682533e-04
6.118694336685494e-04	1.154304e+01	-3.219023e-03	9.488479e-04	9.682401e-04
6.167522461685494e-04	1.154308e+01	-3.333915e-03	9.827068e-04	9.682273e-04
6.216350586685495e-04	1.154311e+01	-3.445668e-03	1.015465e-03	9.682148e-04
6.265178711685495e-04	1.154314e+01	-3.554183e-03	1.047446e-03	9.682027e-04
6.314006836685495e-04	1.154317e+01	-3.659351e-03	1.078265e-03	9.681910e-04
6.362834961685495e-04	1.154320e+01	-3.761080e-03	1.108249e-03	9.681795e-04
6.411663086685495e-04	1.154323e+01	-3.859267e-03	1.137014e-03	9.681686e-04
6.460491211685495e-04	1.154326e+01	-3.953827e-03	1.164888e-03	9.681580e-04
6.509319336685495e-04	1.154329e+01	-4.044664e-03	1.191489e-03	9.681479e-04
6.558147461685495e-04	1.154331e+01	-4.131699e-03	1.217148e-03	9.681381e-04
6.606975586685495e-04	1.154334e+01	-4.214844e-03	1.241486e-03	9.681289e-04
6.655803711685495e-04	1.154336e+01	-4.294028e-03	1.264834e-03	9.681200e-04
6.704631836685495e-04	1.154338e+01	-4.369167e-03	1.286816e-03	9.681116e-04
6.753459961685495e-04	1.154340e+01	-4.440200e-03	1.307766e-03	9.681036e-04
6.802288086685495e-04	1.154342e+01	-4.507052e-03	1.327308e-03	9.680963e-04
6.851116211685495e-04	1.154344e+01	-4.569667e-03	1.345782e-03	9.680892e-04
6.899944336685495e-04	1.154346e+01	-4.627979e-03	1.362812e-03	9.680827e-04
6.948772461685495e-04	1.154347e+01	-4.681941e-03	1.378739e-03	9.680767e-04
6.997600586685495e-04	1.154349e+01	-4.731494e-03	1.393192e-03	9.680712e-04
7.046428711685495e-04	1.154350e+01	-4.776599e-03	1.406513e-03	9.680661e-04
7.095256836685495e-04	1.154351e+01	-4.817207e-03	1.418334e-03	9.680616e-04
7.144084961685495e-04	1.154352e+01	-4.853286e-03	1.429000e-03	9.680575e-04
7.192913086685495e-04	1.154353e+01	-4.884795e-03	1.438144e-03	9.680541e-04
7.241741211685495e-04	1.154354e+01	-4.911712e-03	1.446115e-03	9.680510e-04
7.290569336685495e-04	1.154355e+01	-4.934005e-03	1.452547e-03	9.680486e-04
7.339397461685495e-04	1.154355e+01	-4.951659e-03	1.457793e-03	9.680466e-04
7.388225586685496e-04	1.154356e+01	-4.964650e-03	1.461490e-03	9.680452e-04
7.437053711685496e-04	1.154356e+01	-4.972974e-03	1.463991e-03	9.680442e-04
7.485881836685496e-04	1.154356e+01	-4.976616e-03	1.464937e-03	9.680439e-04
7.534709961685496e-04	1.154356e+01	-4.975579e-03	1.464685e-03	9.680440e-04
7.583538086685496e-04	1.154356e+01	-4.969857e-03	1.462877e-03	9.680446e-04
7.632366211685496e-04	1.154356e+01	-4.959463e-03	1.459872e-03	9.680458e-04
7.681194336685496e-04	1.154355e+01	-4.944399e-03	1.455317e-03	9.680475e-04
7.730022461685496e-04	1.154354e+01	-4.924687e-03	1.449572e-03	9.680497e-04
7.778850586685496e-04	1.154354e+01	-4.900337e-03	1.442286e-03	9.680524e-04
7.827678711685496e-04	1.154353e+01	-4.871381e-03	1.433822e-03	9.680557e-04
7.876506836685496e-04	1.154352e+01	-4.837838e-03	1.423832e-03	9.680595e-04
7.925334961685496e-04	1.154351e+01	-4.799748e-03	1.412681e-03	9.680637e-04
7.974163086685496e-04	1.154350e+01	-4.757138e-03	1.400025e-03	9.680685e-04
8.022991211685496e-04	1.154348e+01	-4.710055e-03	1.386230e-03	9.680737e-04
8.071819336685496e-04	1.154347e+01	-4.658538e-03	1.370955e-03	9.680795e-04
8.120647461685496e-04	1.154345e+01	-4.602642e-03	1.354568e-03	9.680858e-04
8.169475586685496e-04	1.154343e+01	-4.542411e-03	1.336731e-03	9.680925e-04
8.218303711685496e-04	1.154341e+01	-4.477911e-03	1.317814e-03	9.680997e-04
8.267131836685496e-04	1.154339e+01	-4.409194e-03	1.297481e-03	9.681074e-04
8.315959961685496e-04	1.154337e+01	-4.336332e-03	1.276107e-03	9.681156e-04
8.364788086685496e-04	1.154335e+01	-4.259388e-03	1.253355e-03	9.681242e-04
8.413616211685496e-04	1.154333e+01	-4.178440e-03	1.229603e-03	9.681332e-04
8.462444336685496e-04	1.154330e+01	-4.093557e-03	1.204517e-03	9.681428e-04
8.511272461685497e-04	1.154327e+01	-4.004826e-03	1.178477e-03	9.681527e-04
8.560100586685497e-04	1.154325e+01	-3.912325e-03	1.151152e-03	9.681631e-04
8.608928711685497e-04	1.154322e+01	-3.816146e-03	1.122922e-03	9.681738e-04
8.657756836685497e-04	1.154319e+01	-3.716374e-03	1.093460e-03	9.681850e-04
8.706584961685497e-04	1.154316e+01	-3.613109e-03	1.063147e-03	9.681965e-04
8.755413086685497e-04	1.154313e+01	-3.506441e-03	1.031658e-03	9.682085e-04
8.804241211685497e-04	1.154310e+01	-3.396479e-03	9.993777e-04	9.682207e-04
8.853069336685497e-04	1.154306e+01	-3.283318e-03	9.659801e-04	9.682334e-04
8.901897461685497e-04	1.154303e+01	-3.167072e-03	9.318528e-04	9.682464e-04
8.950725586685497e-04	1.154299e+01	-3.047843e-03	8.966722e-04	9.682598e-04
8.999553711685497e-04	1.154296e+01	-2.925751e-03	8.608272e-04	9.682734e-04
9.048381836685497e-04	1.154292e+01	-2.800903e-03	8.239956e-04	9.682873e-04
9.097209961685497e-04	1.154288e+01	-2.673425e-03	7.865679e-04	9.683016e-04
9.146038086685497e-04	1.154284e+01	-2.543428e-03	7.482236e-04	9.683162e-04
9.194866211685497e-04	1.154281e+01	-2.411042e-03	7.093546e-04	9.683309e-04
9.243694336685497e-04	1.154277e+01	-2.276386e-03	6.696417e-04	9.683460e-04
