time	V(vo)	V(Vgs)	Ig
2.053815625149581e-03	-1.056408e-03	1.650295e-03	8.323459e-04
2.073346875149581e-03	-1.416101e-03	2.212327e-03	8.325150e-04
2.092878125149581e-03	-1.754444e-03	2.741058e-03	8.326740e-04
2.112409375149580e-03	-2.066339e-03	3.228536e-03	8.328206e-04
2.131940625149580e-03	-2.347087e-03	3.667429e-03	8.329526e-04
2.151471875149579e-03	-2.592455e-03	4.051135e-03	8.330679e-04
2.171003125149579e-03	-2.798743e-03	4.373884e-03	8.331650e-04
2.190534375149579e-03	-2.962840e-03	4.630820e-03	8.332421e-04
2.210065625149578e-03	-3.082271e-03	4.818079e-03	8.332983e-04
2.229596875149578e-03	-3.155233e-03	4.932845e-03	8.333327e-04
2.249128125149577e-03	-3.180625e-03	4.973391e-03	8.333446e-04
2.268659375149577e-03	-3.158065e-03	4.939107e-03	8.333341e-04
2.288190625149576e-03	-3.087894e-03	4.830509e-03	8.333012e-04
2.307721875149576e-03	-2.971169e-03	4.649232e-03	8.332464e-04
2.327253125149576e-03	-2.809652e-03	4.398000e-03	8.331705e-04
2.346784375149575e-03	-2.605779e-03	4.080593e-03	8.330748e-04
2.366315625149575e-03	-2.362626e-03	3.701785e-03	8.329606e-04
2.385846875149574e-03	-2.083858e-03	3.267274e-03	8.328296e-04
2.405378125149574e-03	-1.773680e-03	2.783595e-03	8.326839e-04
2.424909375149574e-03	-1.436764e-03	2.258023e-03	8.325256e-04
2.454206250149573e-03	-8.924528e-04	1.408551e-03	8.322698e-04
2.483503125149572e-03	-3.178943e-04	5.114294e-04	8.319999e-04
2.493268750149572e-03	-1.211678e-04	2.041579e-04	8.319074e-04
2.503034375149572e-03	7.420070e-05	-1.010395e-04	8.318156e-04
2.512800000149572e-03	2.682111e-04	-4.041630e-04	8.317244e-04
2.522565625149571e-03	4.608633e-04	-7.052125e-04	8.316339e-04
2.532331250149571e-03	6.521575e-04	-1.004188e-03	8.315440e-04
2.542096875149571e-03	8.420936e-04	-1.301090e-03	8.314547e-04
2.551862500149571e-03	1.030672e-03	-1.595917e-03	8.313661e-04
2.581159375149570e-03	1.565018e-03	-2.431608e-03	8.311150e-04
2.600690625149570e-03	1.892984e-03	-2.944760e-03	8.309608e-04
2.620221875149569e-03	2.192539e-03	-3.413646e-03	8.308200e-04
2.639753125149569e-03	2.459188e-03	-3.831212e-03	8.306947e-04
2.659284375149569e-03	2.688930e-03	-4.191178e-03	8.305867e-04
2.678815625149568e-03	2.878317e-03	-4.488130e-03	8.304976e-04
2.698346875149568e-03	3.024511e-03	-4.717601e-03	8.304288e-04
2.717878125149567e-03	3.125317e-03	-4.876140e-03	8.303814e-04
