time	V(vi)	V(vo)
9.871549454307243e-03	-2.015507e-01	-2.036785e-01
9.901065800365937e-03	-1.553054e-01	-1.534330e-01
9.928776579480896e-03	-1.118402e-01	-1.139355e-01
9.969663407853413e-03	-4.764972e-02	-4.581853e-02
1.002645191838112e-02	4.154866e-02	3.947829e-02
1.011214792951828e-02	1.760158e-01	1.778188e-01
1.026071947043860e-02	4.077080e-01	4.019764e-01
1.031387437567523e-02	4.898430e-01	4.686038e-01
1.036962267054290e-02	5.753968e-01	5.092021e-01
1.043327959825436e-02	6.722183e-01	5.380352e-01
1.050747254230038e-02	7.836973e-01	5.575776e-01
1.058349488549090e-02	8.961568e-01	5.715916e-01
1.073553957187195e-02	1.114691e+00	5.897534e-01
1.092278804726255e-02	1.369652e+00	6.041328e-01
1.129728499804375e-02	1.819499e+00	6.210584e-01
1.182787367903445e-02	2.280362e+00	6.331245e-01
1.238774175093263e-02	2.493784e+00	6.376088e-01
1.260821721877553e-02	2.494223e+00	6.376889e-01
1.282615972127937e-02	2.447687e+00	6.367291e-01
1.317966049730104e-02	2.275486e+00	6.331513e-01
1.374384192885112e-02	1.774594e+00	6.199366e-01
1.436292523093914e-02	9.742041e-01	5.800396e-01
1.466096226662424e-02	5.285405e-01	4.932359e-01
1.476419827444945e-02	3.690429e-01	3.668081e-01
1.484167615173295e-02	2.482845e-01	2.494914e-01
1.486380070558609e-02	2.136803e-01	2.126744e-01
1.488570456320751e-02	1.793806e-01	1.805951e-01
1.492951227845035e-02	1.106857e-01	1.097207e-01
1.499265306844220e-02	1.154049e-02	1.274894e-02
1.510615197474507e-02	-1.666195e-01	-1.675675e-01
1.520305587001813e-02	-3.180948e-01	-3.165053e-01
1.525007548165584e-02	-3.912033e-01	-3.893151e-01
1.528917995964559e-02	-4.517476e-01	-4.398493e-01
1.532198034880294e-02	-5.023226e-01	-4.756899e-01
1.535483150603497e-02	-5.527621e-01	-5.004381e-01
1.542053382049901e-02	-6.529132e-01	-5.333477e-01
1.549442510573074e-02	-7.642093e-01	-5.547591e-01
1.557154407327716e-02	-8.786069e-01	-5.696623e-01
1.572578200836999e-02	-1.100951e+00	-5.888473e-01
1.594905323638591e-02	-1.403978e+00	-6.057176e-01
1.639559569241776e-02	-1.921866e+00	-6.241392e-01
1.698118923275203e-02	-2.368345e+00	-6.350653e-01
1.745142506509746e-02	-2.498836e+00	-6.377143e-01
1.763194085871874e-02	-2.491414e+00	-6.376076e-01
1.786474682099068e-02	-2.434634e+00	-6.364694e-01
1.824192312173408e-02	-2.233248e+00	-6.322208e-01
1.884138606833572e-02	-1.663405e+00	-6.163049e-01
1.930936147416010e-02	-1.051124e+00	-5.862629e-01
1.956801119978122e-02	-6.702651e-01	-5.395707e-01
1.972036682561413e-02	-4.369903e-01	-4.313611e-01
1.975786704893306e-02	-3.788760e-01	-3.767160e-01
1.977802166912229e-02	-3.475534e-01	-3.477687e-01
1.979307225360343e-02	-3.241264e-01	-3.231612e-01
1.981221741503735e-02	-2.942843e-01	-2.949655e-01
1.983180424998365e-02	-2.637098e-01	-2.630579e-01
1.985542931412385e-02	-2.267789e-01	-2.275742e-01
1.988654862857846e-02	-1.780581e-01	-1.774865e-01
1.992081728338257e-02	-1.243286e-01	-1.251355e-01
1.998935459299078e-02	-1.672164e-02	-1.616626e-02
2.005358751079817e-02	8.415916e-02	8.335628e-02
2.018205334641295e-02	2.853455e-01	2.857277e-01
2.026951963716088e-02	4.213399e-01	4.151509e-01
2.031191178131680e-02	4.868196e-01	4.658960e-01
2.035489891632417e-02	5.528654e-01	5.006212e-01
2.040784147113559e-02	6.336475e-01	5.283502e-01
2.048086190441753e-02	7.438966e-01	5.514975e-01
2.055678274696746e-02	8.568615e-01	5.671948e-01
2.070862443206732e-02	1.076690e+00	5.871490e-01
2.092010057621126e-02	1.366118e+00	6.039633e-01
2.133133747043546e-02	1.855763e+00	6.222051e-01
2.190948068520341e-02	2.329882e+00	6.342375e-01
2.242206016286324e-02	2.497003e+00	6.376801e-01
2.262101163573881e-02	2.492777e+00	6.376407e-01
2.284697224960139e-02	2.440825e+00	6.365964e-01
2.321325852144737e-02	2.253122e+00	6.326580e-01
2.379656068106192e-02	1.715302e+00	6.180483e-01
2.432264682013223e-02	1.032154e+00	5.849198e-01
2.459831494475617e-02	6.242881e-01	5.284719e-01
2.473325359700388e-02	4.170454e-01	4.133092e-01
2.476569864798017e-02	3.667118e-01	3.655768e-01
2.478205229186619e-02	3.412825e-01	3.409989e-01
2.480073082623936e-02	3.121941e-01	3.119048e-01
2.482148363563290e-02	2.798252e-01	2.799907e-01
2.485162769800716e-02	2.327252e-01	2.326688e-01
2.488088517432074e-02	1.869305e-01	1.871955e-01
2.493050344122212e-02	1.091302e-01	1.091061e-01
2.498257266579876e-02	2.737425e-02	2.764641e-02
2.508671111495205e-02	-1.361381e-01	-1.361566e-01
2.517059756355304e-02	-2.674612e-01	-2.670843e-01
2.523656871307008e-02	-3.702344e-01	-3.686626e-01
2.527650329864841e-02	-4.321488e-01	-4.246387e-01
2.530913133601159e-02	-4.825349e-01	-4.628863e-01
2.534233036998510e-02	-5.335945e-01	-4.919123e-01
2.539718663073079e-02	-6.174434e-01	-5.237365e-01
2.546929582560783e-02	-7.265321e-01	-5.485798e-01
2.554453987731106e-02	-8.387702e-01	-5.650205e-01
2.567019414388429e-02	-1.021901e+00	-5.829949e-01
2.589408217660491e-02	-1.331709e+00	-6.023114e-01
2.625230041348759e-02	-1.770320e+00	-6.195689e-01
2.680373104265869e-02	-2.264557e+00	-6.327747e-01
2.737738799530181e-02	-2.492585e+00	-6.375989e-01
2.760435120687476e-02	-2.494628e+00	-6.376922e-01
2.781987003743947e-02	-2.449678e+00	-6.367785e-01
2.816950000439687e-02	-2.282050e+00	-6.332851e-01
2.872786233097511e-02	-1.792184e+00	-6.204975e-01
2.933270179083943e-02	-1.017748e+00	-5.839365e-01
2.961189372057366e-02	-6.036119e-01	-5.226101e-01
2.974708414310242e-02	-3.956093e-01	-3.929622e-01
2.977986439634626e-02	-3.446867e-01	-3.446141e-01
2.979720994910524e-02	-3.176807e-01	-3.170935e-01
2.981755137747783e-02	-2.859623e-01	-2.863607e-01
2.984526600045697e-02	-2.426729e-01	-2.423575e-01
2.987470096238173e-02	-1.966160e-01	-1.971250e-01
2.993357088623127e-02	-1.043163e-01	-1.040464e-01
3.000000000000000e-02	-1.836970e-15	-5.171611e-04
