time	V(n002)	V(n004)	Id(M1)
5.972203125747914e-04	7.171871e-04	-2.856611e-03	8.292167e-04
6.021031250747914e-04	7.482356e-04	-2.980253e-03	8.292025e-04
6.069859375747914e-04	7.783756e-04	-3.101087e-03	8.291888e-04
6.118687500747915e-04	8.079900e-04	-3.219008e-03	8.291752e-04
6.167515625747915e-04	8.366397e-04	-3.333897e-03	8.291621e-04
6.216343750747915e-04	8.647090e-04	-3.445654e-03	8.291493e-04
6.265171875747915e-04	8.917601e-04	-3.554166e-03	8.291369e-04
6.314000000747915e-04	9.181789e-04	-3.659338e-03	8.291248e-04
6.362828125747915e-04	9.435292e-04	-3.761064e-03	8.291132e-04
6.411656250747915e-04	9.681987e-04	-3.859255e-03	8.291019e-04
6.460484375747915e-04	9.917525e-04	-3.953812e-03	8.290912e-04
6.509312500747915e-04	1.014580e-03	-4.044654e-03	8.290808e-04
6.558140625747915e-04	1.036248e-03	-4.131685e-03	8.290709e-04
6.606968750747915e-04	1.057148e-03	-4.214835e-03	8.290613e-04
6.655796875747915e-04	1.076849e-03	-4.294015e-03	8.290523e-04
6.704625000747915e-04	1.095743e-03	-4.369159e-03	8.290436e-04
6.753453125747915e-04	1.113401e-03	-4.440188e-03	8.290356e-04
6.802281250747915e-04	1.130219e-03	-4.507045e-03	8.290278e-04
6.851109375747915e-04	1.145769e-03	-4.569656e-03	8.290207e-04
6.899937500747915e-04	1.160447e-03	-4.627973e-03	8.290141e-04
6.948765625747915e-04	1.173829e-03	-4.681931e-03	8.290079e-04
6.997593750747915e-04	1.186313e-03	-4.731489e-03	8.290022e-04
7.046421875747915e-04	1.197476e-03	-4.776591e-03	8.289971e-04
7.095250000747915e-04	1.207719e-03	-4.817204e-03	8.289924e-04
7.144078125747915e-04	1.216621e-03	-4.853279e-03	8.289883e-04
7.192906250747915e-04	1.224585e-03	-4.884793e-03	8.289847e-04
7.241734375747916e-04	1.231193e-03	-4.911707e-03	8.289817e-04
7.290562500747916e-04	1.236848e-03	-4.934004e-03	8.289791e-04
7.339390625747916e-04	1.241135e-03	-4.951654e-03	8.289772e-04
7.388218750747916e-04	1.244461e-03	-4.964651e-03	8.289756e-04
7.437046875747916e-04	1.246412e-03	-4.972971e-03	8.289747e-04
7.485875000747916e-04	1.247396e-03	-4.976618e-03	8.289742e-04
7.534703125747916e-04	1.247002e-03	-4.975577e-03	8.289744e-04
7.583531250747916e-04	1.245641e-03	-4.969860e-03	8.289751e-04
7.632359375747916e-04	1.242904e-03	-4.959462e-03	8.289763e-04
7.681187500747916e-04	1.239204e-03	-4.944403e-03	8.289780e-04
7.730015625747916e-04	1.234133e-03	-4.924688e-03	8.289803e-04
7.778843750747916e-04	1.228108e-03	-4.900343e-03	8.289830e-04
7.827671875747916e-04	1.220722e-03	-4.871384e-03	8.289864e-04
7.876500000747916e-04	1.212395e-03	-4.837845e-03	8.289902e-04
7.925328125747916e-04	1.202722e-03	-4.799752e-03	8.289946e-04
7.974156250747916e-04	1.192125e-03	-4.757146e-03	8.289994e-04
8.022984375747916e-04	1.180201e-03	-4.710060e-03	8.290049e-04
8.071812500747916e-04	1.167373e-03	-4.658548e-03	8.290108e-04
8.120640625747916e-04	1.153242e-03	-4.602648e-03	8.290173e-04
8.169468750747916e-04	1.138233e-03	-4.542422e-03	8.290241e-04
8.218296875747916e-04	1.121948e-03	-4.477918e-03	8.290315e-04
8.267125000747916e-04	1.104814e-03	-4.409206e-03	8.290394e-04
8.315953125747916e-04	1.086436e-03	-4.336341e-03	8.290478e-04
8.364781250747917e-04	1.067243e-03	-4.259401e-03	8.290565e-04
8.413609375747917e-04	1.046841e-03	-4.178449e-03	8.290659e-04
8.462437500747917e-04	1.025660e-03	-4.093571e-03	8.290755e-04
8.511265625747917e-04	1.003310e-03	-4.004837e-03	8.290858e-04
8.560093750747917e-04	9.802229e-04	-3.912340e-03	8.290963e-04
8.608921875747917e-04	9.560087e-04	-3.816158e-03	8.291074e-04
